Order Number,Sales Date,Month,Sales Channel,Currency,Salesteam,Salesteam Region,Store Name,State,Product Name,Product Category,Order qty,unit price,unit cost
SO4330,5/23/2020,May,Online,USD,Jerry Green,West,Detroit,Michigan,Ornaments,Decoratives,9,396.15,282.97
SO4331,1/22/2020,January,Distributor,USD,Chris Armstrong,Northeast,Vista,California,Cocktail Glasses,Drinkware,6,351.34,250.95
SO4332,5/24/2020,May,Wholesale,USD,Roy Rice,Midwest,Omaha,Nebraska,Ornaments,Decoratives,7,392.67,280.48
SO4333,1/4/2020,January,Online,USD,Roger Alexander,Midwest,West Jordan,Utah,Bathroom Furniture,Furniture,10,391.44,279.60
SO4334,2/12/2020,February,Online,USD,Paul Holmes,Midwest,Boise City,Idaho,Mirrors,Accessories,4,496.50,354.64
SO4335,2/9/2020,February,Online,USD,Chris Armstrong,Northeast,San Jose,California,Wall Coverings,Decoratives,6,472.15,337.25
SO4336,3/12/2020,March,Wholesale,USD,George Lewis,West,New York City,New York,Furniture Cushions,Furniture,7,392.88,280.63
SO4337,1/9/2020,January,Distributor,USD,Carl Nguyen,Midwest,Ontario,California,Wreaths,Decoratives,2,430.07,307.19
SO4338,3/30/2020,March,Distributor,USD,Adam Hernandez,Northeast,Oklahoma City,Oklahoma,Wall Coverings,Decoratives,4,388.08,277.20
SO4339,2/19/2020,February,In-Store,USD,Joshua Bennett,Northeast,Augusta,Georgia,Candles,Lighting,4,399.27,285.19
SO4340,3/27/2020,March,In-Store,USD,Joshua Little,South,Perry,Indiana,Sculptures,Decoratives,9,428.18,305.84
SO4341,1/23/2020,January,Online,USD,Joshua Little,South,Renton,Washington,Wardrobes,Furniture,8,498.48,356.06
SO4342,3/6/2020,March,Online,USD,Roger Alexander,Midwest,Hampton,Virginia,Bean Bags,Furniture,7,286.20,204.43
SO4343,4/18/2020,April,In-Store,USD,Frank Brown,Northeast,Costa Mesa,California,Dinnerware,Kitchenery,1,520.09,371.49
SO4344,5/20/2020,May,In-Store,USD,Jerry Green,West,Phoenix,Arizona,Mirrors,Accessories,4,244.42,174.58
SO4345,4/29/2020,April,Distributor,USD,Joshua Little,South,Arlington,Virginia,Floor Lamps,Lighting,4,638.90,456.36
SO4346,4/4/2020,April,Distributor,USD,Joshua Little,South,Huntington,New York,Outdoor Furniture,Furniture,10,220.74,157.67
SO4347,1/5/2020,January,Online,USD,Frank Brown,Northeast,Huntsville,Alabama,Table Linens,Decoratives,6,275.30,196.64
SO4348,3/20/2020,March,Online,USD,Frank Brown,Northeast,Abilene,Texas,Computers,Electronics,6,423.61,302.58
SO4349,3/31/2020,March,In-Store,USD,Shawn Cook,Midwest,Alexandria,Virginia,Wall Coverings,Decoratives,2,389.15,277.96
SO4350,4/6/2020,April,Online,USD,Frank Brown,Northeast,Manhattan,New York,Cocktail Glasses,Drinkware,3,231.84,165.60
SO4351,5/24/2020,May,Distributor,USD,Jerry Green,West,Centennial,Colorado,Pendants,Collections,3,577.76,412.69
SO4352,1/25/2020,January,Distributor,USD,George Lewis,West,New Orleans,Louisiana,TV and video,Electronics,8,638.21,455.87
SO4353,4/25/2020,April,In-Store,USD,Joe Price,Northeast,Woodbridge (Township),New Jersey,Outdoor Decor,Decoratives,3,512.61,366.15
SO4354,2/1/2020,February,Wholesale,USD,Nicholas Cunningham,South,Roseville,California,Basketball,Sports,1,189.87,135.62
SO4355,2/14/2020,February,Distributor,USD,Anthony Berry,West,Highlands Ranch,Colorado,Cookware,Kitchenery,5,344.66,246.18
SO4356,1/30/2020,January,Distributor,USD,Douglas Tucker,Midwest,Charlotte,North Carolina,Accessories,Accessories,5,535.76,382.69
SO4357,4/22/2020,April,Distributor,USD,Adam Hernandez,Northeast,Orlando,Florida,Pendants,Collections,8,344.53,246.09
SO4358,2/11/2020,February,Wholesale,USD,Joshua Little,South,Brookhaven,New York,Bar Tools,Drinkware,9,241.66,172.61
SO4359,2/20/2020,February,Online,USD,Douglas Tucker,Midwest,Thousand Oaks,California,Wreaths,Decoratives,1,168.87,120.62
SO4360,3/30/2020,March,Online,USD,Keith Griffin,Northeast,Lehigh Acres,Florida,Home Fragrances,Decoratives,4,247.64,176.89
SO4361,2/4/2020,February,Online,USD,Paul Holmes,Midwest,North Las Vegas,Nevada,Dinnerware,Kitchenery,3,273.55,195.39
SO4362,1/12/2020,January,In-Store,USD,Donald Reynolds,South,South Bend,Indiana,Accessories,Accessories,7,379.89,271.35
SO4363,3/4/2020,March,In-Store,USD,Jonathan Hawkins,West,Columbia,Missouri,Floor Lamps,Lighting,7,604.65,431.89
SO4364,1/23/2020,January,In-Store,USD,Carl Nguyen,Midwest,Elk Grove,California,Serveware,Kitchenery,5,522.21,373.01
SO4365,2/21/2020,February,Wholesale,USD,Keith Griffin,Northeast,Daly City,California,Dining Furniture,Furniture,5,340.41,243.15
SO4366,3/25/2020,March,Wholesale,USD,Joshua Little,South,Staten Island,New York,Floor Lamps,Lighting,10,638.83,456.31
SO4367,4/23/2020,April,Online,USD,Patrick Graham,South,Madison,Wisconsin,Serveware,Kitchenery,4,578.46,413.18
SO4368,1/12/2020,January,In-Store,USD,Chris Armstrong,Northeast,Grand Prairie,Texas,Floor Lamps,Lighting,6,478.10,341.50
SO4369,1/13/2020,January,In-Store,USD,Patrick Graham,South,Mesa,Arizona,Table Linens,Decoratives,5,465.04,332.17
SO4370,1/4/2020,January,Distributor,USD,George Lewis,West,Pasadena,California,Vanities,Collections,8,413.31,295.22
SO4371,3/14/2020,March,Distributor,USD,Jerry Green,West,Santa Rosa,California,Floral,Decoratives,5,434.16,310.11
SO4372,4/13/2020,April,Distributor,USD,Todd Roberts,West,Irvine,California,Wall Coverings,Decoratives,1,492.80,352.00
SO4373,1/8/2020,January,Online,USD,Anthony Berry,West,McKinney,Texas,Rugs,Decoratives,4,297.77,212.69
SO4374,1/3/2020,January,Online,USD,Todd Roberts,West,Madison,Wisconsin,Floor Lamps,Lighting,3,407.89,291.35
SO4375,1/12/2020,January,Wholesale,USD,Shawn Cook,Midwest,Detroit,Michigan,Blankets,Beddings,3,594.38,424.56
SO4376,3/8/2020,March,In-Store,USD,Chris Armstrong,Northeast,St. Louis,Missouri,Floral,Decoratives,2,206.49,147.50
SO4377,2/26/2020,February,Online,USD,Nicholas Cunningham,South,Arlington,Texas,Blankets,Beddings,3,197.86,141.33
SO4378,3/9/2020,March,Distributor,USD,Joshua Little,South,Los Angeles,California,Floral,Decoratives,1,202.33,144.52
SO4379,5/6/2020,May,Distributor,USD,Shawn Cook,Midwest,New Orleans,Louisiana,Vanities,Collections,5,347.16,247.97
SO4380,2/10/2020,February,Wholesale,USD,Shawn Cook,Midwest,Amarillo,Texas,Table Lamps,Lighting,10,158.13,112.95
SO4381,5/19/2020,May,In-Store,USD,Joshua Bennett,Northeast,Vancouver,Washington,Dinnerware,Kitchenery,6,333.29,238.06
SO4382,1/3/2020,January,Online,USD,George Lewis,West,Milton,Illinois,Table Linens,Decoratives,5,451.28,322.35
SO4383,4/22/2020,April,Distributor,USD,George Lewis,West,South Bend,Indiana,Phones,Electronics,7,264.83,189.17
SO4384,5/28/2020,May,Online,USD,Chris Armstrong,Northeast,Milton,Illinois,Wall Frames,Decoratives,9,540.75,386.25
SO4385,4/26/2020,April,Wholesale,USD,Adam Hernandez,Northeast,Provo,Utah,Home Fragrances,Decoratives,5,406.73,290.52
SO4386,5/4/2020,May,In-Store,USD,Keith Griffin,Northeast,Perry,Indiana,Audio,Electronics,3,199.26,142.33
SO4387,3/25/2020,March,In-Store,USD,Patrick Graham,South,Dallas,Texas,Audio,Electronics,10,239.19,170.85
SO4388,1/15/2020,January,Wholesale,USD,Samuel Fowler,Midwest,Carlsbad,California,Sculptures,Decoratives,6,583.07,416.48
SO4389,5/14/2020,May,Wholesale,USD,Carl Nguyen,Midwest,Bremen,Illinois,Clocks,Accessories,4,508.87,363.48
SO4390,2/8/2020,February,Online,USD,Douglas Tucker,Midwest,Capital,Illinois,Baseball,Sports,5,332.83,237.74
SO4391,1/23/2020,January,In-Store,USD,Paul Holmes,Midwest,Miami,Florida,Wardrobes,Furniture,1,647.84,462.74
SO4392,5/14/2020,May,Wholesale,USD,Chris Armstrong,Northeast,Visalia,California,Vases,Decoratives,1,561.31,400.94
SO4393,1/14/2020,January,Online,USD,George Lewis,West,Lakewood,Colorado,Bar Tools,Drinkware,2,593.85,424.18
SO4394,1/26/2020,January,Wholesale,USD,Anthony Berry,West,Everett,Washington,Table Lamps,Lighting,7,645.06,460.76
SO4395,1/6/2020,January,Online,USD,Anthony Berry,West,Charlotte,North Carolina,Platters,Kitchenery,7,639.87,457.05
SO4396,3/26/2020,March,Distributor,USD,Shawn Cook,Midwest,Hillsboro,Oregon,Ornaments,Decoratives,6,429.26,306.61
SO4397,2/10/2020,February,In-Store,USD,Jerry Green,West,Fayetteville,North Carolina,Bedroom Furniture,Furniture,3,581.10,415.07
SO4398,2/6/2020,February,Online,USD,Adam Hernandez,Northeast,Carlsbad,California,Pendants,Collections,10,532.25,380.18
SO4399,2/8/2020,February,Wholesale,USD,Patrick Graham,South,Modesto,California,Audio,Electronics,7,554.74,396.24
SO4400,5/10/2020,May,In-Store,USD,Nicholas Cunningham,South,Westminster,Colorado,Serveware,Kitchenery,7,577.63,412.59
SO4401,5/1/2020,May,Wholesale,USD,Roger Alexander,Midwest,Boise City,Idaho,Wardrobes,Furniture,2,582.33,415.95
SO4402,4/5/2020,April,Wholesale,USD,Paul Holmes,Midwest,Highlands Ranch,Colorado,Vases,Decoratives,6,316.84,226.31
SO4403,3/2/2020,March,Online,USD,Carl Nguyen,Midwest,Hayward,California,Table Lamps,Lighting,10,458.41,327.43
SO4404,4/25/2020,April,Online,USD,Roger Alexander,Midwest,Akron,Ohio,Stemware,Drinkware,4,213.60,152.57
SO4405,2/14/2020,February,Wholesale,USD,Keith Griffin,Northeast,Richmond,Virginia,Pillows,Beddings,9,251.78,179.84
SO4406,5/6/2020,May,Online,USD,Roy Rice,Midwest,Memphis,Tennessee,Floor Lamps,Lighting,3,190.65,136.18
SO4407,1/1/2020,January,In-Store,USD,Anthony Berry,West,Richmond,Virginia,Outdoor Furniture,Furniture,8,307.72,219.80
SO4408,3/22/2020,March,In-Store,USD,Shawn Cook,Midwest,Murfreesboro,Tennessee,Platters,Kitchenery,7,374.67,267.62
SO4409,3/17/2020,March,Online,USD,Patrick Graham,South,El Monte,California,Basketball,Sports,3,265.76,189.83
SO4410,5/14/2020,May,Online,USD,Joshua Kenedy,West,Brooklyn,New York,Wall Frames,Decoratives,10,285.32,203.80
SO4411,1/9/2020,January,Distributor,USD,Patrick Graham,South,Arlington,Texas,Wine Storage,Drinkware,5,240.07,171.48
SO4412,5/29/2020,May,In-Store,USD,Douglas Tucker,Midwest,Irving,Texas,Table Lamps,Lighting,5,554.74,396.25
SO4413,3/26/2020,March,Distributor,USD,Carl Nguyen,Midwest,Pomona,California,Vases,Decoratives,9,420.41,300.29
SO4414,4/16/2020,April,In-Store,USD,Roger Alexander,Midwest,Tempe,Arizona,Floral,Decoratives,1,367.03,262.16
SO4415,5/13/2020,May,Wholesale,USD,Donald Reynolds,South,Joliet,Illinois,Vanities,Collections,10,487.28,348.05
SO4416,5/30/2020,May,Wholesale,USD,Shawn Wallace,South,Kansas City,Missouri,Mirrors,Accessories,3,465.43,332.45
SO4417,3/5/2020,March,Wholesale,USD,Shawn Cook,Midwest,Newark,New Jersey,Table Lamps,Lighting,9,359.69,256.92
SO4418,4/21/2020,April,Distributor,USD,Todd Roberts,West,Brooklyn,New York,Dining Furniture,Furniture,9,157.40,112.43
SO4419,1/26/2020,January,In-Store,USD,George Lewis,West,Garden Grove,California,Mirrors,Accessories,5,412.72,294.80
SO4420,2/6/2020,February,Distributor,USD,Patrick Graham,South,Gresham,Oregon,Wardrobes,Furniture,10,419.64,299.74
SO4421,3/28/2020,March,Wholesale,USD,George Lewis,West,Austin,Texas,Cocktail Glasses,Drinkware,2,428.69,306.21
SO4422,5/9/2020,May,Wholesale,USD,Shawn Cook,Midwest,Clearwater,Florida,Vanities,Collections,8,280.77,200.55
SO4423,2/23/2020,February,Wholesale,USD,Shawn Wallace,South,Pasadena,California,Pillows,Beddings,2,178.74,127.67
SO4424,2/10/2020,February,In-Store,USD,Joe Price,Northeast,Westminster,Colorado,Bathroom Furniture,Furniture,9,337.41,241.01
SO4425,5/25/2020,May,Distributor,USD,Todd Roberts,West,Edison,New Jersey,Pillows,Beddings,8,648.11,462.94
SO4426,3/19/2020,March,In-Store,USD,George Lewis,West,Aurora,Colorado,Blankets,Beddings,10,330.59,236.14
SO4427,1/25/2020,January,Online,USD,Adam Hernandez,Northeast,Peoria City,Illinois,Blankets,Beddings,9,535.29,382.35
SO4428,4/19/2020,April,Wholesale,USD,Joe Price,Northeast,Waterbury,Connecticut,Blankets,Beddings,6,379.98,271.41
SO4429,2/3/2020,February,Distributor,USD,Jerry Green,West,Gilbert,Arizona,Pillows,Beddings,8,315.04,225.03
SO4430,1/19/2020,January,Wholesale,USD,Jerry Green,West,Irvine,California,Floral,Decoratives,4,568.16,405.83
SO4431,3/7/2020,March,In-Store,USD,Joshua Kenedy,West,Fort Collins,Colorado,Serveware,Kitchenery,4,228.78,163.42
SO4432,5/11/2020,May,Wholesale,USD,Keith Griffin,Northeast,Arlington,Virginia,Dinnerware,Kitchenery,2,206.12,147.23
SO4433,1/19/2020,January,Distributor,USD,Chris Armstrong,Northeast,Santa Clarita,California,Outdoor Decor,Decoratives,1,233.97,167.12
SO4434,4/11/2020,April,Wholesale,USD,Patrick Graham,South,Atlanta,Georgia,Clocks,Accessories,9,239.57,171.12
SO4435,2/6/2020,February,Online,USD,Jonathan Hawkins,West,Vista,California,Wreaths,Decoratives,10,550.29,393.07
SO4436,2/22/2020,February,Online,USD,Joshua Bennett,Northeast,Newport News,Virginia,Candleholders,Decoratives,3,357.72,255.52
SO4437,2/12/2020,February,In-Store,USD,Stephen Payne,South,Minneapolis,Minnesota,Accessories,Accessories,8,564.05,402.90
SO4438,4/10/2020,April,Wholesale,USD,Frank Brown,Northeast,Vallejo,California,Outdoor Decor,Decoratives,4,526.88,376.34
SO4439,1/23/2020,January,Online,USD,George Lewis,West,Houston,Texas,Bathroom Furniture,Furniture,1,489.89,349.92
SO4440,2/3/2020,February,Online,USD,Paul Holmes,Midwest,Brookhaven,New York,Mirrors,Accessories,9,263.60,188.29
SO4441,1/13/2020,January,Online,USD,Adam Hernandez,Northeast,Rochester,Minnesota,Blankets,Beddings,3,294.65,210.46
SO4442,2/2/2020,February,In-Store,USD,Samuel Fowler,Midwest,Staten Island,New York,Floor Lamps,Lighting,9,610.62,436.16
SO4443,5/11/2020,May,Online,USD,Joe Price,Northeast,Gilbert,Arizona,Table Lamps,Lighting,6,533.32,380.94
SO4444,2/2/2020,February,In-Store,USD,Adam Hernandez,Northeast,Center,Indiana,Candleholders,Decoratives,6,376.60,269.00
SO4445,5/20/2020,May,Wholesale,USD,Shawn Cook,Midwest,Frisco,Texas,Vases,Decoratives,6,353.05,252.18
SO4446,3/11/2020,March,Wholesale,USD,Stephen Payne,South,Lakewood,Colorado,Serveware,Kitchenery,9,370.47,264.62
SO4447,1/4/2020,January,In-Store,USD,Douglas Tucker,Midwest,Enterprise,Nevada,Vases,Decoratives,10,571.87,408.48
SO4448,2/6/2020,February,In-Store,USD,Adam Hernandez,Northeast,Clovis,California,Bean Bags,Furniture,1,427.90,305.65
SO4449,4/6/2020,April,Wholesale,USD,Carl Nguyen,Midwest,Columbus,Ohio,Sculptures,Decoratives,5,324.52,231.80
SO4450,2/4/2020,February,In-Store,USD,Shawn Cook,Midwest,Chula Vista,California,Wine Storage,Drinkware,2,205.20,146.57
SO4451,2/10/2020,February,Wholesale,USD,Samuel Fowler,Midwest,Palmdale,California,Table Lamps,Lighting,2,442.53,316.09
SO4452,1/23/2020,January,In-Store,USD,Roy Rice,Midwest,Miami Gardens,Florida,Accessories,Accessories,4,311.61,222.58
SO4453,2/2/2020,February,Wholesale,USD,Donald Reynolds,South,Phoenix,Arizona,Ornaments,Decoratives,5,307.55,219.68
SO4454,5/9/2020,May,Distributor,USD,George Lewis,West,Riverside,California,Rugs,Decoratives,6,476.89,340.63
SO4455,4/1/2020,April,Wholesale,USD,Keith Griffin,Northeast,Jacksonville,Florida,Candles,Lighting,9,593.37,423.84
SO4456,4/26/2020,April,Distributor,USD,Stephen Payne,South,Evansville,Indiana,Ornaments,Decoratives,10,593.59,423.99
SO4457,4/21/2020,April,Distributor,USD,Patrick Graham,South,Toledo,Ohio,Wreaths,Decoratives,8,389.38,278.13
SO4458,2/29/2020,February,In-Store,USD,Shawn Cook,Midwest,St. Louis,Missouri,Dining Furniture,Furniture,10,579.38,413.85
SO4459,5/23/2020,May,Online,USD,Nicholas Cunningham,South,Thornton,Colorado,Bakeware,Kitchenery,4,369.18,263.70
SO4460,1/24/2020,January,Distributor,USD,Shawn Wallace,South,Orange,California,Wreaths,Decoratives,10,640.51,457.51
SO4461,3/31/2020,March,Online,USD,Jonathan Hawkins,West,Winston-Salem,North Carolina,Mirrors,Accessories,3,246.76,176.26
SO4462,5/27/2020,May,In-Store,USD,Carl Nguyen,Midwest,Hempstead (Town),New York,Serveware,Kitchenery,9,636.98,454.99
SO4463,5/25/2020,May,Distributor,USD,Jerry Green,West,Scottsdale,Arizona,Sculptures,Decoratives,1,430.37,307.41
SO4464,1/18/2020,January,Online,USD,Chris Armstrong,Northeast,Provo,Utah,Photo Frames,Decoratives,10,381.24,272.31
SO4465,5/24/2020,May,Wholesale,USD,Shawn Wallace,South,Gainesville,Florida,Stemware,Drinkware,1,374.98,267.85
SO4466,3/8/2020,March,Distributor,USD,Roy Rice,Midwest,Eugene,Oregon,Bean Bags,Furniture,10,322.40,230.29
SO4467,1/23/2020,January,Distributor,USD,Donald Reynolds,South,Yonkers,New York,Computers,Electronics,8,287.10,205.07
SO4468,5/25/2020,May,Online,USD,Roy Rice,Midwest,Denver,Colorado,Serveware,Kitchenery,5,189.33,135.24
SO4469,3/4/2020,March,Distributor,USD,Joshua Ryan,Midwest,San Diego,California,Pillows,Beddings,5,436.12,311.51
SO4470,2/12/2020,February,In-Store,USD,Carl Nguyen,Midwest,Vancouver,Washington,Blankets,Beddings,4,304.98,217.85
SO4471,1/26/2020,January,Online,USD,Adam Hernandez,Northeast,Renton,Washington,Ornaments,Decoratives,9,467.67,334.05
SO4472,3/22/2020,March,Online,USD,Patrick Graham,South,Westminster,Colorado,Photo Frames,Decoratives,8,389.95,278.53
SO4473,1/4/2020,January,Online,USD,Douglas Tucker,Midwest,Bridgeport (Town),Connecticut,Wall Coverings,Decoratives,4,237.55,169.68
SO4474,4/17/2020,April,Online,USD,Samuel Fowler,Midwest,South Bend,Indiana,Candleholders,Decoratives,10,317.13,226.52
SO4475,3/3/2020,March,Online,USD,Chris Armstrong,Northeast,Aurora,Colorado,Furniture Cushions,Furniture,2,303.18,216.56
SO4476,3/14/2020,March,Wholesale,USD,Shawn Cook,Midwest,Santa Rosa,California,Vanities,Collections,9,390.86,279.19
SO4477,3/4/2020,March,Online,USD,Chris Armstrong,Northeast,Washington,Indiana,Wall Frames,Decoratives,10,334.74,239.10
SO4478,1/15/2020,January,In-Store,USD,Roy Rice,Midwest,The Woodlands,Texas,Bar Tools,Drinkware,7,352.01,251.44
SO4479,5/5/2020,May,Distributor,USD,Paul Holmes,Midwest,McKinney,Texas,Serveware,Kitchenery,3,346.39,247.42
SO4480,4/23/2020,April,In-Store,USD,Chris Armstrong,Northeast,Arlington,Texas,Furniture Cushions,Furniture,3,443.83,317.02
SO4481,2/17/2020,February,In-Store,USD,Paul Holmes,Midwest,Modesto,California,Candles,Lighting,2,254.24,181.60
SO4482,3/31/2020,March,Wholesale,USD,Shawn Wallace,South,Abilene,Texas,Collectibles,Collections,6,483.55,345.40
SO4483,1/4/2020,January,Wholesale,USD,Anthony Berry,West,Richmond,California,Floral,Decoratives,1,406.90,290.65
SO4484,2/23/2020,February,Distributor,USD,Joshua Bennett,Northeast,Greeley,Colorado,Candles,Lighting,1,525.15,375.11
SO4485,2/1/2020,February,In-Store,USD,Donald Reynolds,South,Augusta,Georgia,Basketball,Sports,9,348.96,249.25
SO4486,1/6/2020,January,Online,USD,Samuel Fowler,Midwest,Oklahoma City,Oklahoma,Stemware,Drinkware,8,310.59,221.85
SO4487,3/24/2020,March,In-Store,USD,Joshua Ryan,Midwest,Wayne,Indiana,Stemware,Drinkware,9,216.50,154.64
SO4488,3/3/2020,March,In-Store,USD,Joshua Bennett,Northeast,San Angelo,Texas,Bathroom Furniture,Furniture,3,343.51,245.36
SO4489,2/18/2020,February,In-Store,USD,Shawn Wallace,South,Lawrence (Township),Indiana,Dining Furniture,Furniture,3,271.67,194.05
SO4490,1/12/2020,January,Online,USD,Joe Price,Northeast,Pembroke Pines,Florida,Floral,Decoratives,9,530.34,378.81
SO4491,3/22/2020,March,Online,USD,Roy Rice,Midwest,Santa Maria,California,Bathroom Furniture,Furniture,3,219.83,157.02
SO4492,2/29/2020,February,Wholesale,USD,Joshua Little,South,Fort Worth,Texas,Floor Lamps,Lighting,3,475.03,339.31
SO4493,5/2/2020,May,In-Store,USD,Joshua Little,South,Richardson,Texas,Blankets,Beddings,3,579.80,414.14
SO4494,3/27/2020,March,Distributor,USD,Samuel Fowler,Midwest,Durham,North Carolina,Stemware,Drinkware,2,629.11,449.36
SO4495,3/11/2020,March,Distributor,USD,Roger Alexander,Midwest,Glendale,California,Outdoor Furniture,Furniture,4,486.28,347.34
SO4496,4/7/2020,April,Distributor,USD,Keith Griffin,Northeast,Lakewood,Colorado,Floor Lamps,Lighting,3,617.63,441.17
SO4497,1/31/2020,January,Wholesale,USD,Adam Hernandez,Northeast,Woodbridge (Township),New Jersey,Phones,Electronics,2,457.41,326.72
SO4498,2/3/2020,February,Distributor,USD,Frank Brown,Northeast,Akron,Ohio,Basketball,Sports,3,205.26,146.61
SO4499,2/13/2020,February,Distributor,USD,Todd Roberts,West,Charleston,South Carolina,Collectibles,Collections,4,248.11,177.22
SO4500,1/22/2020,January,In-Store,USD,Stephen Payne,South,Salinas,California,Baseball,Sports,2,475.59,339.71
SO4501,1/19/2020,January,Distributor,USD,Patrick Graham,South,Oxnard,California,Wall Coverings,Decoratives,3,572.50,408.93
SO4502,3/13/2020,March,Distributor,USD,Jerry Green,West,Killeen,Texas,Computers,Electronics,1,417.38,298.13
SO4503,4/18/2020,April,Distributor,USD,Carl Nguyen,Midwest,San Angelo,Texas,Stemware,Drinkware,9,569.84,407.03
SO4504,3/19/2020,March,Wholesale,USD,Roger Alexander,Midwest,Springfield,Massachusetts,Photo Frames,Decoratives,5,268.36,191.69
SO4505,2/5/2020,February,In-Store,USD,Joshua Little,South,Antioch,California,TV and video,Electronics,3,548.49,391.78
SO4506,4/9/2020,April,Online,USD,Adam Hernandez,Northeast,Stamford (Town),Connecticut,Bakeware,Kitchenery,8,547.75,391.25
SO4507,5/8/2020,May,Distributor,USD,Adam Hernandez,Northeast,Enterprise,Nevada,TV and video,Electronics,2,629.94,449.96
SO4508,2/19/2020,February,Online,USD,Jerry Green,West,Cambridge,Massachusetts,Wardrobes,Furniture,9,362.68,259.05
SO4509,3/8/2020,March,Distributor,USD,Carl Nguyen,Midwest,Warren,Indiana,Phones,Electronics,6,569.01,406.43
SO4510,2/25/2020,February,Wholesale,USD,Anthony Berry,West,Portland,Oregon,Dining Furniture,Furniture,3,202.07,144.34
SO4511,5/25/2020,May,Online,USD,Nicholas Cunningham,South,Syracuse,New York,Bakeware,Kitchenery,5,640.63,457.60
SO4512,3/25/2020,March,Wholesale,USD,Jerry Green,West,Kent,Washington,Outdoor Decor,Decoratives,8,528.86,377.76
SO4513,2/23/2020,February,In-Store,USD,Jonathan Hawkins,West,Henderson,Nevada,Outdoor Decor,Decoratives,9,602.89,430.63
SO4514,1/17/2020,January,Wholesale,USD,Adam Hernandez,Northeast,Fort Lauderdale,Florida,Clocks,Accessories,2,632.38,451.70
SO4515,3/29/2020,March,Wholesale,USD,Douglas Tucker,Midwest,Washington,District of Columbia,Phones,Electronics,4,384.12,274.37
SO4516,2/28/2020,February,In-Store,USD,Jonathan Hawkins,West,Downey,California,Candles,Lighting,8,324.41,231.72
SO4517,5/26/2020,May,Online,USD,Anthony Berry,West,Brandon,Florida,Audio,Electronics,6,255.45,182.46
SO4518,1/29/2020,January,Distributor,USD,Paul Holmes,Midwest,Pasadena,Texas,Wall Coverings,Decoratives,10,173.28,123.77
SO4519,5/10/2020,May,Distributor,USD,Keith Griffin,Northeast,Augusta,Georgia,Home Fragrances,Decoratives,10,378.92,270.66
SO4520,2/5/2020,February,Wholesale,USD,Patrick Graham,South,Sterling Heights,Michigan,Table Linens,Decoratives,9,604.83,432.02
SO4521,4/5/2020,April,Distributor,USD,Todd Roberts,West,Broken Arrow,Oklahoma,Rugs,Decoratives,2,248.02,177.16
SO4522,5/10/2020,May,Distributor,USD,George Lewis,West,The Bronx,New York,Table Lamps,Lighting,10,324.36,231.69
SO4523,1/16/2020,January,Wholesale,USD,Nicholas Cunningham,South,Elgin,Illinois,Bean Bags,Furniture,8,165.52,118.23
SO4524,5/27/2020,May,Online,USD,Todd Roberts,West,Spokane,Washington,Wall Frames,Decoratives,1,650.68,464.77
SO4525,2/8/2020,February,Online,USD,Anthony Berry,West,West Covina,California,Serveware,Kitchenery,1,515.68,368.34
SO4526,4/17/2020,April,Distributor,USD,Donald Reynolds,South,High Point,North Carolina,Home Fragrances,Decoratives,2,434.95,310.68
SO4527,4/4/2020,April,Online,USD,Joe Price,Northeast,Oakland,California,Platters,Kitchenery,9,224.30,160.21
SO4528,3/14/2020,March,Online,USD,Joe Price,Northeast,Virginia Beach,Virginia,Wall Frames,Decoratives,10,429.97,307.12
SO4529,4/25/2020,April,Wholesale,USD,Jerry Green,West,Orange,California,Basketball,Sports,2,434.28,310.20
SO4530,2/13/2020,February,Online,USD,Carl Nguyen,Midwest,Columbia,Maryland,Wall Frames,Decoratives,10,530.04,378.60
SO4531,5/2/2020,May,In-Store,USD,Keith Griffin,Northeast,Boston,Massachusetts,Sculptures,Decoratives,10,511.60,365.43
SO4532,3/3/2020,March,Distributor,USD,Anthony Berry,West,Greeley,Colorado,Wine Storage,Drinkware,3,480.64,343.32
SO4533,4/29/2020,April,Wholesale,USD,Carl Nguyen,Midwest,McKinney,Texas,Cookware,Kitchenery,8,174.74,124.81
SO4534,1/4/2020,January,Online,USD,Joshua Little,South,Spring Valley,Nevada,Ornaments,Decoratives,3,253.46,181.04
SO4535,3/8/2020,March,Wholesale,USD,Stephen Payne,South,Port St. Lucie,Florida,Computers,Electronics,7,624.20,445.85
SO4536,1/29/2020,January,Online,USD,Joshua Little,South,Jackson,Mississippi,Outdoor Furniture,Furniture,1,415.50,296.78
SO4537,4/3/2020,April,Distributor,USD,Paul Holmes,Midwest,Salem,Oregon,Floor Lamps,Lighting,1,178.51,127.51
SO4538,2/21/2020,February,Online,USD,Joshua Kenedy,West,Athens,Georgia,Sculptures,Decoratives,4,441.40,315.29
SO4539,2/20/2020,February,In-Store,USD,Roger Alexander,Midwest,Schaumburg (Township),Illinois,Outdoor Decor,Decoratives,10,589.88,421.34
SO4540,2/10/2020,February,Distributor,USD,Keith Griffin,Northeast,East Los Angeles,California,Vanities,Collections,1,558.20,398.72
SO4541,3/3/2020,March,Wholesale,USD,Anthony Berry,West,Highlands Ranch,Colorado,Furniture Cushions,Furniture,8,257.38,183.85
SO4542,1/10/2020,January,Distributor,USD,Donald Reynolds,South,Wilmington,North Carolina,Furniture Cushions,Furniture,4,312.05,222.89
